date,selected_hour,selection_status,rr,tavg,rh,cin,kindex,li,tt,sweat,cape
2017-01-01,12Z,SELECTED,,28.2,83.9,-4.906,34.4,-4.51,42.2,219.162,2226.401
2017-01-02,12Z,SELECTED,26.9,26.5,87.4,-22.887,35.2,-2.955,41.5,223.381,921.164
2017-01-03,12Z,SELECTED,78.0,26.2,87.6,0.0,36.4,-3.317,40.5,277.368,1671.572
2017-01-04,12Z,SELECTED,33.0,24.7,92.4,-4.865,35.1,-0.752,39.0,294.56,397.409
2017-01-05,12Z,SELECTED,83.0,25.7,88.3,-15.811,38.0,-5.124,44.1,299.131,2064.721
2017-01-06,12Z,SELECTED,57.0,25.4,91.6,-77.053,28.8,1.688,35.5,271.14,198.461
2017-01-07,12Z,SELECTED,9.0,26.8,83.0,-5.754,21.1,-3.459,38.8,235.526,2168.771
2017-01-08,12Z,SELECTED,5.0,27.4,83.8,-5.786,26.2,-3.387,33.0,140.237,1713.096
2017-01-09,12Z,SELECTED,0.5,26.9,81.8,-13.457,32.7,-0.712,36.7,226.603,601.61
2017-01-10,12Z,SELECTED,0.0,27.0,79.5,-45.293,36.5,-1.664,41.4,223.272,551.84
2017-01-11,12Z,SELECTED,0.0,27.0,83.3,-68.084,26.7,-1.829,39.0,170.361,427.89
2017-01-12,12Z,SELECTED,6.0,25.7,83.6,-16.596,36.1,-3.253,42.2,215.497,699.801
2017-01-13,12Z,SELECTED,0.0,26.0,85.6,-9.68,35.4,-6.686,44.2,175.506,2834.941
2017-01-14,12Z,SELECTED,0.0,26.4,82.4,-46.951,30.6,-3.433,42.7,182.47,863.758
2017-01-15,12Z,SELECTED,0.0,27.0,81.7,0.0,33.0,-4.379,39.3,188.758,2500.038
2017-01-16,12Z,SELECTED,36.0,26.9,84.7,-11.764,16.7,-2.063,29.2,51.273,1005.118
2017-01-17,12Z,SELECTED,0.0,25.5,77.0,-41.631,27.5,-3.125,39.8,167.191,957.54
2017-01-18,12Z,SELECTED,0.0,26.6,75.5,-18.852,29.9,-3.013,42.2,184.455,1012.396
2017-01-19,12Z,SELECTED,0.0,27.0,78.8,-13.021,31.6,-4.866,42.1,195.696,2165.647
2017-01-20,12Z,SELECTED,0.0,27.5,68.8,-132.659,24.0,0.383,41.1,203.471,4.993
2017-01-21,12Z,SELECTED,0.0,27.0,76.9,-25.806,35.9,-4.552,46.6,199.506,1696.153
2017-01-22,12Z,SELECTED,52.0,26.7,87.3,-24.391,39.1,-3.519,44.4,225.247,1241.476
2017-01-23,12Z,SELECTED,50.0,25.6,85.0,-92.568,32.7,1.216,39.1,189.273,14.035
2017-01-24,12Z,SELECTED,0.0,26.2,80.9,-14.812,32.7,-2.466,40.6,196.753,701.944
2017-01-25,12Z,SELECTED,0.0,26.2,82.2,-23.957,27.8,-3.822,37.2,117.652,1542.769
2017-01-26,12Z,SELECTED,0.0,26.7,77.5,-5.989,34.0,-3.632,45.3,229.812,1487.435
2017-01-27,12Z,SELECTED,20.0,,85.8,0.0,36.3,-5.132,44.2,225.755,2182.131
2017-01-28,12Z,SELECTED,4.5,26.5,89.0,0.0,36.5,-4.338,44.2,217.599,2123.814
2017-01-29,12Z,SELECTED,37.0,26.3,87.8,-15.029,36.8,-4.408,43.6,212.066,1925.317
2017-01-30,12Z,SELECTED,0.0,26.3,85.7,-12.114,30.9,-3.915,40.4,176.732,1836.777
2017-01-31,12Z,SELECTED,5.4,26.3,86.9,-12.166,35.4,-4.008,43.6,188.68,1533.524
2017-02-01,12Z,SELECTED,71.0,25.7,83.4,-39.863,26.2,-3.154,43.1,200.107,944.894
2017-02-02,12Z,SELECTED,0.0,26.4,81.4,-0.754,26.7,-5.161,36.6,129.351,2558.168
2017-02-03,12Z,SELECTED,0.0,26.4,81.1,-0.013,31.7,-5.402,41.2,175.677,2416.896
2017-02-04,12Z,SELECTED,0.0,26.5,82.1,-2.869,35.4,-4.722,41.3,196.009,1997.683
2017-02-05,12Z,SELECTED,0.0,26.9,80.0,-10.727,33.5,-3.698,42.8,218.151,1071.37
2017-02-06,12Z,SELECTED,0.0,27.0,80.0,0.0,26.5,-4.918,34.6,115.669,2251.242
2017-02-07,12Z,SELECTED,39.0,26.4,83.9,-8.536,34.4,-4.554,42.4,229.433,1701.028
2017-02-08,12Z,SELECTED,4.3,25.5,88.5,-0.174,36.9,-5.732,45.3,225.071,1966.974
2017-02-09,12Z,SELECTED,30.0,26.8,84.7,-3.021,37.6,-6.709,45.9,220.017,2603.835
2017-02-10,12Z,SELECTED,0.0,27.5,82.4,-9.843,35.9,-4.968,44.4,197.562,1988.298
2017-02-11,12Z,SELECTED,17.0,27.1,85.1,-98.548,40.2,-3.637,47.6,232.245,1017.055
2017-02-12,12Z,SELECTED,0.0,26.9,81.9,-17.95,35.4,-5.49,45.4,220.904,2254.917
2017-02-13,12Z,SELECTED,0.0,27.6,83.6,-11.978,37.8,-6.02,45.6,244.813,2414.967
2017-02-14,12Z,SELECTED,0.0,28.1,80.9,-0.23,36.6,-7.013,46.3,226.043,2375.13
2017-02-15,12Z,SELECTED,0.0,27.9,81.6,-7.48,37.2,-6.197,46.6,221.927,2387.638
2017-02-16,12Z,SELECTED,0.0,28.2,78.3,-20.367,36.6,-5.724,44.9,201.468,2018.52
2017-02-17,12Z,SELECTED,0.0,27.5,80.6,-8.93,38.9,-5.554,46.8,241.135,2208.247
2017-02-18,12Z,SELECTED,0.0,28.0,82.4,0.0,37.9,-5.41,43.3,247.187,3002.32
2017-02-19,12Z,SELECTED,0.0,27.7,82.9,-3.105,37.9,-5.694,45.8,231.222,2815.732
2017-02-20,12Z,SELECTED,50.0,26.7,90.3,-83.687,38.6,-2.075,46.6,237.501,307.617
2017-02-21,12Z,SELECTED,0.0,26.0,86.8,-48.028,35.7,-5.274,44.6,170.975,2400.303
2017-02-22,12Z,SELECTED,1.0,27.0,85.1,-42.093,34.7,-3.066,41.4,186.593,1185.743
2017-02-23,00Z,SELECTED,27.0,25.0,91.6,-75.945,33.9,-1.188,43.7,238.618,178.938
2017-02-24,12Z,SELECTED,7.1,25.9,83.7,-34.933,34.3,-3.368,43.7,192.855,1132.633
2017-02-25,12Z,SELECTED,0.0,27.0,84.9,-9.283,34.8,-3.888,42.2,189.203,1868.66
2017-02-26,12Z,SELECTED,16.4,26.8,86.9,-13.254,37.9,-4.485,45.2,229.278,2158.708
2017-02-27,12Z,SELECTED,12.6,26.1,89.8,-5.714,36.4,-4.21,43.8,226.981,1649.136
2017-02-28,12Z,SELECTED,76.5,24.4,94.6,-19.02,36.3,-1.423,42.7,213.73,254.511
2017-03-01,12Z,SELECTED,0.2,25.6,84.4,-41.71,39.4,-4.383,47.4,223.708,2198.516
2017-03-02,12Z,SELECTED,0.0,27.1,86.8,-3.502,40.6,-4.705,45.9,223.337,2230.966
2017-03-03,12Z,SELECTED,18.3,25.6,92.4,-16.907,35.3,-4.95,44.6,202.676,1867.581
2017-03-04,12Z,SELECTED,0.0,26.5,85.8,-13.643,37.0,-4.257,43.6,226.981,1707.818
